ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt025,https://doi.org/10.5066/P96MMRFD,BT025,United States,Alaska,POINT (-150.3386 66),"","",Fort Hamlin Hills Metalliferous Coal,"Tungsten,Molybdenum,Copper,Gallium,Uranium,Lead,Zirconium,Germanium,rare earth elements,Gold,Antimony,Silver",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tn143,https://doi.org/10.5066/P96MMRFD,TN143,United States,Alaska,POINT (-150.589 65.9843),"","",Ray River Metalliferous Coal,"Gallium,Antimony,Silver,Copper,Molybdenum,rare earth elements,Uranium,Gold,Zirconium,Tungsten,Germanium,Lead",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-10073171,https://doi.org/10.5066/P970GDD5,USA.MO.10073171,United States,"",POINT(-91.12480 37.63980),EPSG:4326,"",Magmont,"Copper,Zinc,Lead,Gallium,Germanium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-10244067,https://doi.org/10.5066/P970GDD5,USA.MO.10244067,United States,"",POINT(-91.12260 37.60590),EPSG:4326,"",Buick,"Lead,Germanium,Zinc,Gallium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-10293984,https://doi.org/10.5066/P970GDD5,USA.MO.10293984,United States,"",POINT(-91.14820 37.35980),EPSG:4326,"",Sweetwater,"Zinc,Gallium,Lead,Germanium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-10294201,https://doi.org/10.5066/P970GDD5,USA.MO.10294201,United States,"",POINT(-91.10900 37.49260),EPSG:4326,"",West Fork,"Gallium,Lead,Zinc,Germanium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-mo-910748,https://doi.org/10.5066/P970GDD5,USA.MO.910748,United States,"",POINT(-90.90930 38.05760),EPSG:4326,"",Indian Creek,"Germanium,Gallium,Lead",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-pa-911146,https://doi.org/10.5066/P970GDD5,USA.PA.911146,United States,"",POINT(-75.40460 40.55450),EPSG:4326,"",Friedensville,"Gallium,Zinc,Germanium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-tn-10154670,https://doi.org/10.5066/P970GDD5,USA.TN.10154670,United States,"",POINT(-85.93250 36.26160),EPSG:4326,"",Cumberland,"Germanium,Zinc,Gallium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-tn-10307223,https://doi.org/10.5066/P970GDD5,USA.TN.10307223,United States,"",POINT(-85.92000 36.17000),EPSG:4326,"",Central Tennessee District,"Germanium,Zinc,Gallium",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-tn-911168a,https://doi.org/10.5066/P970GDD5,USA.TN.911168a,United States,"",POINT(-83.56490 36.08200),EPSG:4326,"",Mascot-Jefferson City District,"Germanium,Gallium,Zinc",""
https://minmod.isi.edu/resource/site__doi-org-10-5066-p970gdd5__usa-tn-911168c,https://doi.org/10.5066/P970GDD5,USA.TN.911168c,United States,"",POINT(-83.61300 36.07650),EPSG:4326,"","Young, Immel, Coy, New Market","Lead,Copper,Gallium,Germanium,Zinc",""
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00047,https://mrdata.usgs.gov/deposit,ID00047,United States,Idaho,"POINT (-115.782977 44.033937),POINT (-115.783 44.0339)",EPSG:4326,NA,"CuMo Property,CuMo","Molybdenum,Sulfur,Copper,Rhenium,Silver,Gallium,Tungsten","Porphyry Cu-Mo,Porphyry Mo-Cu"
